text,intent
open youtube,OPEN_WEBSITE
launch youtube,OPEN_WEBSITE
start youtube,OPEN_WEBSITE
open google,OPEN_WEBSITE
launch google,OPEN_WEBSITE
open github,OPEN_WEBSITE
launch github,OPEN_WEBSITE
open chatgpt,OPEN_WEBSITE
launch chatgpt,OPEN_WEBSITE
get youtube running,OPEN_WEBSITE
open vscode,OPEN_APPLICATION
launch vscode,OPEN_APPLICATION
open visual studio code,OPEN_APPLICATION
start calculator,OPEN_APPLICATION
open calculator,OPEN_APPLICATION
launch notepad,OPEN_APPLICATION
open notepad,OPEN_APPLICATION
start chrome,OPEN_APPLICATION
launch chrome,OPEN_APPLICATION
open the calculator,OPEN_APPLICATION
search python tutorials,SEARCH_WEB
search for python tutorials,SEARCH_WEB
find python tutorials,SEARCH_WEB
search deep learning,SEARCH_WEB
look up deep learning,SEARCH_WEB
find information about cnn,SEARCH_WEB
search for machine learning,SEARCH_WEB
look up neural networks,SEARCH_WEB
find information about transformers,SEARCH_WEB
search computer vision,SEARCH_WEB
play music,PLAY_MEDIA
play a song,PLAY_MEDIA
start some music,PLAY_MEDIA
play my playlist,PLAY_MEDIA
play relaxing music,PLAY_MEDIA
start music,PLAY_MEDIA
play something,PLAY_MEDIA
play a song for me,PLAY_MEDIA
start playing music,PLAY_MEDIA
play audio,PLAY_MEDIA
stop the music,STOP_MEDIA
stop playing,STOP_MEDIA
pause the song,STOP_MEDIA
stop the song,STOP_MEDIA
turn off the music,STOP_MEDIA
stop playback,STOP_MEDIA
pause the music,STOP_MEDIA
stop audio,STOP_MEDIA
stop the current song,STOP_MEDIA
end music playback,STOP_MEDIA
take a screenshot,TAKE_SCREENSHOT
capture my screen,TAKE_SCREENSHOT
screenshot the screen,TAKE_SCREENSHOT
take a picture of my screen,TAKE_SCREENSHOT
capture the current screen,TAKE_SCREENSHOT
take screen capture,TAKE_SCREENSHOT
capture my display,TAKE_SCREENSHOT
save a screenshot,TAKE_SCREENSHOT
take a screenshot now,TAKE_SCREENSHOT
capture the screen,TAKE_SCREENSHOT
check my battery,SYSTEM_INFO
what is my battery level,SYSTEM_INFO
how much battery do I have,SYSTEM_INFO
show system information,SYSTEM_INFO
check system status,SYSTEM_INFO
what is my cpu usage,SYSTEM_INFO
show my battery percentage,SYSTEM_INFO
tell me the system status,SYSTEM_INFO
how much battery is left,SYSTEM_INFO
show computer information,SYSTEM_INFO
increase volume,VOLUME_CONTROL
turn the volume up,VOLUME_CONTROL
raise the volume,VOLUME_CONTROL
make it louder,VOLUME_CONTROL
decrease volume,VOLUME_CONTROL
turn the volume down,VOLUME_CONTROL
lower the volume,VOLUME_CONTROL
make it quieter,VOLUME_CONTROL
mute the sound,VOLUME_CONTROL
unmute the sound,VOLUME_CONTROL
set a timer for 10 minutes,SET_TIMER
start a 20 minute timer,SET_TIMER
set a timer for 30 seconds,SET_TIMER
start my study timer,SET_TIMER
set a five minute timer,SET_TIMER
start a timer,SET_TIMER
set a timer for one hour,SET_TIMER
start a 15 minute timer,SET_TIMER
set a countdown for 10 minutes,SET_TIMER
start a countdown,SET_TIMER
goodbye jarvis,EXIT_JARVIS
exit,EXIT_JARVIS
close jarvis,EXIT_JARVIS
stop jarvis,EXIT_JARVIS
quit the assistant,EXIT_JARVIS
shutdown jarvis,EXIT_JARVIS
end the session,EXIT_JARVIS
terminate jarvis,EXIT_JARVIS
close the assistant,EXIT_JARVIS
I want to exit,EXIT_JARVIS
